ID,Name,Description,URL,Created,Types,Access Modes,Alt. Names / Keywords,Use Proxy,Friendly URL,Subjects,More Info,Map Ct,New,Trial,Featured,Permitted Uses
83905784,JapanKnowledge Lib,"Encyclopedia, dictionaries, reference compilations, and periodical resources from Japan.;Please send comments to Wanheng Li (wanheng.li@vanderbilt.edu).;",https://japanknowledge.com/library/,2/16/26 12:15,,,,Yes,,"Asian Studies, History",,0,No,Yes,No,
79603825,Pediatric Surgery NaT,"Database on pediatric surgery topics created by pediatric surgeons. Contains topic information, images, and surgical videos. Users can create a free personal account while on campus to favorite items and save searches.",https://www.pedsurglibrary.com/apsa,1/27/25 10:01,Biomedical Library,,,Yes,pediatricsurgery,Biomedical/Health Sciences,,0,No,No,No,
35186485,17th and 18th Century Nichols Newspapers Collection,"London newspapers and pamphlets gathered by antiquarian and printer John Nichols. This collection, sourced from the Bodleian Library, complements the titles and issues found in the 17th and 18th Century Burney Collection Newspapers database.",https://link.gale.com/apps/NICN?u=nash87800,8/24/17 12:41,,,,Yes,nicholsnewspapers,"History, News and Newspapers, Primary Sources",,37,No,No,No,
21456559,17th-18th Century Burney Collection Newspapers,"English news media from the 17th and 18th centuries: newspapers, pamphlets, and books gathered by the Reverend Charles Burney (1757-1817).",https://link.gale.com/apps/BBCN?u=nash87800,5/10/16 14:59,,,centure,Yes,burneynewspapers,"English, History, News and Newspapers",,49,No,No,No,
21456561,19th Century U.S. Newspapers,"Digital facsimile images of both full pages and clipped articles for 19th century US newspapers. For each issue, the newspaper is captured from cover-to-cover, providing access to every article, advertisement and illustration.",https://link.gale.com/apps/NCNP?u=nash87800,5/10/16 14:59,,,nineteenth us centure,Yes,19thcenturyusnewspapers,"English, History, News and Newspapers",Access Note: Available only to Tennessee residents.,57,No,No,No,
35186674,19th Century UK Periodicals,"Based on the repositories of the British Library, the National Library of Scotland, the National Library of South Africa, the National Library of Australia, etc.",https://link.gale.com/apps/NCUK?u=nash87800,8/24/17 12:46,,,,Yes,19thcenturyuknews,"English, History, News and Newspapers, Primary Sources",,33,No,No,No,
66188872,AAMI Standards,Information on standards for the medical device industry.;,https://array.aami.org/standards-and-publications,3/30/22 15:07,Biomedical Library,,Association for the Advancement of Medical Instrumentation,Yes,aamistandards,Biomedical/Health Sciences,"First-time users are required to create an individual account. Click on the ""Register"" link in the top right corner.",0,No,No,No,
21456563,Academic Onefile,"Scholarly journals on a broad range of subject areas--arts and the humanities, social sciences, science and technology.",https://link.gale.com/apps/AONE?u=tel_a_vanderbilt,5/10/16 14:59,Peabody Library,,TEL_database,Yes,academiconefile,"Communication Studies, General, Juvenile Literature, Latin American Studies",Coverage: 1980-present (New York Times back to 1995).,17,No,No,No,
48775472,Academic Video Online,"Documentaries, interviews, performances, news programs and newsreels, field recordings, commercials, raw footage, and thousands of award-winning films.",https://video.alexanderstreet.com/channel/academic-video-online/?account_id=14816,6/24/19 10:33,Biomedical Library;Peabody Library,,"AVON,streaming, Alexander Street",Yes,avon,"Cinema and Media Arts, General, German, Russian, Streaming Video",,285,No,No,No,
69876865,Access World News Research Collection,"Research diverse perspectives, topics and trends that align with curricular areas such as Political Science, English, Sociology, Humanities, Business, International Studies and more. Features reliable, credible information from a wide variety of international, national and local news sources.",https://infoweb.newsbank.com/apps/news/easy-search?p=WORLDNEWS,12/16/22 16:19,Peabody Library,,"Black Life in America, Hispanic Life in America, Newsbank Access World News Research Collection",Yes,accessworldnews,"History, News and Newspapers",,173,No,No,No,
71356978,AccessAnesthesiology,"Key anesthesiology textbooks, guidelines, procedural videos, case studies, and review questions.",https://accessanesthesiology.mhmedical.com,4/10/23 15:23,Biomedical Library,,,Yes,accessanesthesiology,Biomedical/Health Sciences,,2,No,No,No,
83784213,AccessEmergency Medicine,"Provides access to emergency medicine textbooks, procedural videos, review questions, and cases.;;;;",http://accessemergencymedicine.mhmedical.com,2/4/26 15:14,Biomedical Library,,,Yes,,"Biomedical/Health Sciences, Nursing",,0,Yes,No,No,
53470527,AccessEngineering,Reference and teaching platform that delivers interdisciplinary engineering ebooks and videos integrated with analytical teaching and learning tools.,https://www.accessengineeringlibrary.com,3/31/20 18:08,Science and Engineering Library,,Access Engineering,Yes,accessengineering,Engineering,,68,No,No,No,
26038198,AccessMedicine,"Medical textbooks, videos and animations, Diagnosaurus differential diagnosis tool, practice guidelines, diagnostic tests, evidence-based outlines of conditions and disorders, self-assessment, patient education, integrated drug database, photos and illustrations, cases, and custom curriculum. Covers internal medicine, cardiology, genetics, pharmacy, diagnosis and management, basic sciences, patient care, etc. Continuously expanding, all databases in the repository contain the latest editions of selected medical titles.",http://www.accessmedicine.com/,10/13/16 16:09,Biomedical Library,,AccessLange Current Medical Diagnosis and Treatment Metabolic and Molecular Bases of Inherited Disease Access Medicine,Yes,accessmedicine,"Biomedical/Health Sciences, Nursing",,32,No,No,No,
79671540,AccessPediatrics,"Provides access to information essential for completing evaluation, diagnosis, and case management decisions, as well as for pursuing research or self-assessment and board review. Includes textbooks, cases, and review questions.;",https://accesspediatrics.mhmedical.com/,1/31/25 6:43,Biomedical Library,,Access Pediatrics,Yes,AccessPediatrics,"Biomedical/Health Sciences, Nursing",,1,No,No,No,
26038199,AccessPharmacy,"Textbooks on pharmacy and clinical medicine, drug news, and learning opportunities. Content from FDA MedWatch; information on herbs and supplements; dosage calculators; drug monographs; patient handouts;  videos, images, and pharmacology lectures; case studies; self-assessment tests (NAPLEX).",https://accesspharmacy.mhmedical.com/,10/13/16 16:09,Biomedical Library,,Applied Biopharmaceutics & Pharmacokinetics  Applied Biopharmaceutics & Pharmacokinetics  Applied Clinical Pharmacokinetics  Applied Physical Pharmacy  Basic & Clinical Biostatistics  Basic & Clinical Pharmacology  Casarett and Doull's Toxicology: th,Yes,accesspharmacy,"Biomedical/Health Sciences, Nursing",,25,No,No,No,
64212073,AccessScience,Online resource containing reference material covering all major scientific disciplines.,http://www.accessscience.com/,11/5/21 17:01,,,Access Science,Yes,accesscience,"Biomedical/Health Sciences, Science",,32,No,No,No,
71356998,AccessSurgery,"Key surgery textbooks, guidelines, procedural videos, images, case studies, and 3,000 ABSITE-style review questions.",http://accesssurgery.mhmedical.com,4/10/23 15:24,Biomedical Library,,,Yes,accesssurgery,Biomedical/Health Sciences,,2,No,No,No,
21456566,ACLS Humanities E-Book,American Council of Learned Societies's collection of  ebooks in the humanities.,http://www.humanitiesebook.org/,5/10/16 14:59,Divinity Library,,ebook,Yes,aclshumanities,"Biblical Studies, Church/Religious History, Religious Studies, Theological Studies",,2,No,No,No,
21456567,ACM Digital Library,"Association for Computing Machinery's access to journals, magazines, transactions, ACM proceedings, SIG proceedings, newsletters, and publications by affiliated organizations.",http://www.acm.org/dl/,5/10/16 14:59,Science and Engineering Library,,,Yes,acmdigital,"Electrical Engineering and Computer Science, Engineering",,8,No,No,No,
21456569,Ad Access,"Image database of advertisements printed in U.S. and Canadian newspapers and magazines between 1911 and 1955. Subject areas: Radio, Television, Transportation, Beauty and Hygiene, and World War II.",https://repository.duke.edu/dc/adaccess,5/10/16 14:59,,,,No,adaccess,"Communication Studies, Gender and Sexuality Studies, Primary Sources",Coverage: 1911-1955.,12,No,No,No,
21456572,AfricaBib.org: African Women,"Books and government documents; articles from books, periodicals, and journals; theses and dissertations; conference papers; and videocassettes.",http://www.africabib.org/women.html,5/10/16 14:59,,,,No,africanwomen,African American and Diaspora Studies,,2,No,No,No,
43017598,African American Communities,"Pamphlets, newspapers and periodicals, correspondence, official records, reports, and in-depth oral histories reveal the prevalent challenges of racism, discrimination and integration, and a unique African American culture and identity. Focuses predominantly on Atlanta, Chicago, St. Louis, New York, and towns and cities in North Carolina.",https://www.africanamericancommunities.amdigital.co.uk/,7/11/18 15:30,Alumni,,Adam Matthew,Yes,africanamericancommunities,"African American and Diaspora Studies, History, Primary Sources",,69,No,No,No,
21456574,African American Experience,"Articles, audio clips, images, primary source documents, maps, monographs, and government documents covering all aspects of the African American experience from Greenwood Press, Negro University Press, etc.",http://africanamerican2.abc-clio.com,5/10/16 14:59,,,,Yes,africanamericanexperience,"African American and Diaspora Studies, History, Political Science",,43,No,No,No,
